-,-,-
35, -938, 400
142, -912, 402
142, -912, 402
100, -935, 404
-3, -967, 394
-4, -965, 332
2, -961, 220
16, -931, 301
16, -931, 301
29, -921, 379
-32, -903, 362
-101, -900, 379
-53, -899, 341
-45, -902, 272
-151, -909, 233
-367, -978, 223
-849, -1115, 307
-1453, -1228, 500
-1970, -1325, 785
-1998, -1282, 973
-1998, -1105, 1136
-1766, -872, 1283
-710, -650, 1380
310, -445, 1467
1008, -293, 1017
-,-,-
-810, -844, 330
-602, -841, 265
-174, -863, 402
75, -848, 544
-51, -860, 529
-51, -860, 529
-148, -812, 406
-94, -795, 482
38, -829, 535
-39, -831, 463
-277, -852, 439
-357, -849, 391
-394, -911, 476
-616, -1008, 644
-1082, -1074, 810
-1756, -1124, 1139
-1998, -1123, 1476
-1998, -1017, 1712
-1901, -825, 1511
-1236, -634, 1329
-301, -574, 1381
675, -328, 1043
1117, -114, 519
1416, -198, 485
1899, -269, 432
-,-,-
-539, -737, 570
-727, -718, 407
-454, -770, 459
-271, -817, 579
-267, -812, 688
-444, -827, 568
-332, -797, 534
-157, -855, 622
-81, -842, 704
-231, -822, 588
-231, -822, 588
-309, -815, 503
-315, -830, 457
-284, -839, 526
-526, -881, 632
-958, -919, 689
-1306, -890, 682
-1573, -883, 790
-1896, -876, 1078
-1996, -779, 1336
-1748, -612, 1366
-1301, -473, 1342
-721, -336, 1251
-134, -175, 918
514, -160, 747
1214, -347, 964
-,-,-
-555, -700, 518
-673, -763, 518
-564, -788, 515
-424, -805, 620
-331, -864, 669
-207, -893, 711
-147, -853, 682
-211, -875, 658
-279, -893, 640
-226, -865, 553
-181, -891, 564
-294, -902, 548
-568, -885, 507
-972, -887, 639
-1390, -928, 838
-1702, -911, 967
-1952, -810, 953
-1998, -751, 1097
-1993, -666, 1283
-1920, -550, 1520
-1766, -283, 1572
-1119, 112, 1473
367, 334, 1449
1855, 208, 1284
1997, -56, 842
1997, -56, 842
1997, -361, 727
-,-,-
-683, -599, 324
-659, -635, 636
-837, -708, 666
-841, -719, 694
-712, -777, 768
-571, -834, 618
-523, -823, 675
-647, -794, 798
-684, -772, 629
-557, -803, 471
-274, -837, 686
-329, -879, 667
-591, -883, 658
-1064, -836, 618
-1700, -773, 547
-1998, -683, 829
-1998, -532, 1288
-1998, -350, 1219
-1836, -190, 1201
-1165, -121, 1276
-400, -102, 1203
290, -148, 1213
1104, -322, 1298
1741, -414, 1263
-,-,-
-619, -671, 553
-664, -656, 538
-518, -661, 466
-221, -733, 551
-218, -759, 691
-501, -760, 612
-589, -755, 545
-441, -744, 547
-343, -743, 567
-551, -758, 648
-886, -752, 647
-1098, -716, 576
-1509, -716, 629
-1981, -679, 781
-1998, -550, 1015
-1998, -353, 1196
-1998, -162, 1309
-1998, -31, 1512
-1566, 103, 1870
-658, 159, 1998
512, 264, 1840
1450, 75, 1803
1450, 75, 1803
1983, -185, 1802
1997, -361, 1318
-,-,-
-473, -703, 253
-281, -711, 280
-206, -722, 420
-392, -677, 532
-515, -707, 335
-492, -725, 386
-444, -770, 562
-538, -793, 613
-528, -789, 629
-509, -762, 532
-569, -742, 516
-682, -754, 611
-844, -751, 689
-1058, -760, 704
-1264, -738, 759
-1572, -656, 857
-1936, -526, 1016
-1998, -410, 1114
-1978, -285, 1112
-1699, -192, 1125
-1388, -100, 1154
-1045, -74, 1361
-633, -138, 1642
10, -197, 1787
808, -288, 1757
1498, -465, 1528
1911, -673, 1387
-,-,-
-271, -691, 536
-271, -691, 536
-392, -747, 439
-510, -735, 423
-786, -726, 406
-760, -768, 565
-506, -825, 849
-493, -806, 884
-616, -821, 678
-681, -837, 725
-718, -847, 758
-730, -845, 894
-1088, -838, 858
-1509, -785, 850
-1821, -674, 935
-1969, -593, 1176
-1971, -497, 1372
-1822, -404, 1416
-1481, -321, 1469
-1003, -156, 1089
-567, -172, 1038
127, -323, 1454
1022, -422, 1337
1694, -499, 1259
-,-,-
-441, -731, 721
-594, -737, 616
-414, -780, 553
-233, -912, 551
-388, -919, 681
-646, -860, 674
-646, -860, 674
-625, -881, 678
-569, -904, 826
-644, -881, 830
-906, -877, 795
-1127, -876, 760
-1338, -881, 808
-1596, -838, 920
-1746, -803, 1083
-1766, -809, 1212
-1553, -848, 1426
-1100, -803, 1392
-1031, -768, 1306
-1163, -628, 1460
