-,-,-
270, -29, 1025
260, 45, 967
247, 69, 1014
274, 87, 982
274, 87, 982
279, 50, 917
259, 66, 895
215, 103, 945
163, 160, 943
163, 160, 943
170, 130, 929
219, 26, 874
271, -72, 856
310, -147, 935
311, -106, 1041
-,-,-
157, -9, 987
169, -23, 991
176, -24, 987
176, -24, 987
175, -17, 987
172, -12, 986
160, 4, 1000
159, 1, 998
159, 1, 998
172, -19, 986
181, -44, 981
-,-,-
149, 18, 958
158, 7, 979
158, 7, 979
155, 3, 991
160, -1, 997
162, -6, 991
162, -6, 991
168, -17, 988
172, -24, 993
171, -22, 990
162, -7, 995
162, -7, 995
155, 0, 995
151, 3, 994
150, 5, 990
150, 5, 990
153, 1, 986
160, -8, 988
160, -8, 988
164, -13, 991
168, -13, 992
166, -9, 990
166, -7, 997
166, -7, 997
162, -4, 993
158, 5, 996
159, 0, 993
159, 0, 993
164, -9, 988
160, -9, 989
156, 0, 995
156, 0, 995
154, 3, 1001
156, 1, 1007
158, -2, 1002
158, -2, 1002
160, -4, 996
155, -1, 984
150, 4, 986
150, 4, 986
148, 5, 988
149, 4, 988
152, 0, 988
152, 0, 988
155, 0, 985
157, 4, 986
157, 4, 986
159, 1, 988
156, 2, 990
155, 5, 995
155, 5, 995
159, 0, 991
159, 0, 985
159, 0, 985
162, -4, 983
165, -10, 988
163, -10, 1003
161, -14, 997
161, -14, 997
160, -9, 1001
159, -6, 991
156, 0, 987
153, 1, 986
153, 1, 986
150, 1, 992
153, -2, 992
163, -5, 985
163, -5, 985
172, -7, 981
169, -5, 985
164, -1, 990
164, -1, 990
159, 1, 993
160, 6, 994
162, 5, 990
162, 5, 990
165, 1, 989
160, 1, 993
160, 1, 993
158, 7, 999
161, 3, 992
165, 7, 989
165, 7, 989
167, 16, 989
175, 18, 994
186, 13, 995
186, 13, 995
195, 11, 1007
203, 14, 1017
214, 12, 1010
228, 0, 995
228, 0, 995
261, -9, 980
314, -46, 967
371, -119, 965
371, -119, 965
422, -211, 950
422, -275, 919
348, -285, 928
240, -264, 974
130, -230, 1006
23, -181, 1011
-72, -106, 975
