-,-,-
689, -49, 753
669, 5, 754
669, 5, 754
642, 57, 763
682, 9, 743
685, 0, 734
685, 0, 734
678, -18, 690
658, -6, 665
626, 13, 661
626, 13, 661
646, 5, 679
681, -58, 646
674, -69, 640
665, -59, 623
665, -59, 623
688, -89, 581
702, -120, 505
701, -122, 522
775, -141, 619
893, -175, 651
1031, -114, 743
1031, -114, 743
1292, -57, 935
1633, -129, 1144
1958, -363, 1535
1997, -538, 1955
1996, -604, 1998
1777, -647, 1998
1376, -599, 1998
1031, -572, 1968
729, -553, 1675
305, -287, 1402
-160, -6, 1069
-187, 87, 707
-,-,-
703, 113, 1089
727, 181, 876
772, 63, 870
724, -4, 930
724, -4, 930
513, 184, 980
488, 192, 957
526, 111, 923
570, 75, 929
570, 75, 929
617, 91, 930
728, 135, 1014
956, 135, 1115
1293, 42, 1315
1623, -55, 1587
1839, -151, 1928
1835, -352, 1998
1738, -613, 1998
1738, -613, 1998
1543, -784, 1998
1187, -636, 1998
737, -531, 1994
459, -313, 1935
15, 20, 1665
-419, 387, 1256
-616, 463, 640
-448, 286, 82
-343, 201, 29
-314, 86, -115
-314, 86, -115
-244, 12, -179
-,-,-
630, 0, 754
622, 21, 699
618, -21, 764
641, -32, 807
628, -16, 863
628, -16, 863
618, -14, 845
620, -17, 760
639, -42, 689
676, -58, 632
717, -53, 587
717, -53, 587
804, -3, 606
1024, 11, 678
1437, -68, 822
1922, -322, 1074
1997, -679, 1505
1997, -841, 1936
1997, -840, 1998
1781, -674, 1968
1234, -337, 1621
652, 119, 1328
652, 119, 1328
120, -10, 1402
-32, 266, 1100
-292, 271, 781
-,-,-
803, -5, 834
826, 70, 698
858, -101, 631
843, -155, 607
843, -155, 607
722, -50, 808
652, 6, 1009
700, -39, 1037
774, -102, 985
839, -126, 923
839, -126, 923
915, -123, 1009
1047, -160, 1132
1183, -179, 1295
1370, -183, 1457
1561, -238, 1664
1634, -393, 1910
1582, -543, 1998
1520, -693, 1998
1321, -637, 1998
981, -433, 1998
568, -181, 1920
161, 86, 1654
-130, 233, 1369
-308, 261, 1051
-389, 210, 736
-444, 198, 469
-464, 207, 175
-,-,-
747, 80, 680
691, 147, 627
691, 147, 627
786, 114, 713
885, -45, 791
855, -103, 933
826, -38, 1175
883, -82, 1290
883, -82, 1290
959, -111, 1275
942, -34, 1278
921, 42, 1445
1053, -71, 1719
1219, -285, 1824
1273, -329, 1962
1185, -169, 1998
1142, -156, 1998
1196, -250, 1998
1214, -295, 1998
897, -185, 1998
470, 7, 1993
93, 80, 1697
93, 80, 1697
-226, 163, 1224
-413, 290, 924
-477, 290, 689
-415, 228, 342
-,-,-
593, 79, 808
577, 6, 724
577, 6, 724
631, 99, 662
679, 174, 673
664, 46, 694
664, 46, 694
649, 25, 787
576, 96, 725
569, 120, 695
596, 69, 651
596, 69, 651
643, -15, 650
653, -41, 650
647, -12, 598
665, 1, 547
665, 1, 547
841, 2, 495
1173, 38, 488
1652, 197, 575
1652, 197, 575
1996, 116, 887
1997, -95, 1719
1997, -170, 1998
1814, -239, 1998
1074, -189, 1998
365, 10, 1998
-311, 221, 1914
-684, 217, 1307
-,-,-
707, 292, 836
832, 308, 816
832, 308, 816
1016, 135, 998
1079, 107, 1070
1068, 257, 1198
1195, 390, 1377
1393, 287, 1536
1562, 168, 1729
1578, 165, 1860
1495, 285, 1987
1368, 418, 1985
1329, 236, 1827
1363, -200, 1673
1162, -320, 1713
765, -67, 1584
765, -67, 1584
437, 41, 1324
215, -82, 1014
14, -70, 974
-261, 181, 896
-442, 290, 631
-465, 262, 426
-,-,-
782, -45, 776
782, -45, 776
495, 156, 760
549, 334, 772
745, 142, 846
883, -86, 1033
907, 193, 1187
1042, 545, 1471
1042, 545, 1471
1298, 625, 1857
1630, 390, 1998
1829, 277, 1998
1711, 282, 1998
1356, 319, 1998
994, 204, 1998
724, -58, 1984
303, 0, 1758
-164, 262, 1402
-392, 357, 1007
-392, 357, 1007
-450, 292, 596
-470, 268, 496
-538, 223, 129
-472, 103, 42
-438, 31, -74
-427, 40, -164
-,-,-
844, 80, 791
789, 165, 670
764, 178, 691
831, 238, 1147
904, 211, 1294
904, 211, 1294
929, 289, 1523
1066, 219, 1588
1231, 133, 1781
1212, 209, 1997
1054, 215, 1998
833, 157, 1998
687, 141, 1998
637, 149, 1998
593, 53, 1998
593, 53, 1998
352, -33, 1998
-16, -18, 1718
-371, 198, 1300
-656, 338, 935
-764, 476, 632
-704, 499, 274
-443, 590, 209
-443, 590, 209
-884, 252, -168
-693, 252, -347
-554, 51, -354
-411, 117, -520
-452, -67, -537
-206, 19, -513
78, 131, -531
-,-,-
460, 86, 937
363, 278, 820
303, 333, 830
351, 260, 976
351, 260, 976
457, 146, 1040
544, 162, 1067
599, 260, 1111
737, 379, 1187
973, 365, 1435
1229, 315, 1826
1346, 296, 1998
1294, 288, 1998
1294, 288, 1998
1041, 215, 1998
698, 27, 1998
331, -37, 1998
-44, 52, 1987
-405, 208, 1641
-576, 166, 1005
-543, 66, 499
-468, 94, 371
-,-,-
763, 191, 502
803, 193, 543
734, 246, 532
734, 246, 532
744, 226, 493
805, 211, 526
781, 223, 541
740, 230, 527
768, 214, 463
768, 214, 463
898, 120, 340
1019, 117, 315
1214, 312, 311
1679, 498, 388
1997, 497, 720
1997, 367, 1151
1997, 367, 1708
1997, 466, 1708
1997, 661, 1980
1877, 534, 1746
1459, 423, 1448
1127, 360, 1057
649, 294, 954
263, 407, 898
-,-,-
878, 329, 676
913, 319, 537
1020, 266, 381
1001, 200, 444
1030, 284, 688
1030, 284, 688
1100, 340, 746
1181, 284, 762
1372, 425, 917
1580, 472, 1003
1790, 425, 1077
1980, 444, 1224
1997, 601, 1575
1983, 613, 1837
1791, 402, 1778
1420, 303, 1619
1420, 303, 1619
1121, 217, 1295
727, 216, 1113
377, 259, 938
33, 349, 801
-105, 349, 676
-107, 254, 455
-205, -9, 103
-205, -9, 103
-261, 4, 11
-,-,-
863, 377, 597
862, 295, 616
898, 292, 697
1017, 98, 663
1043, 121, 730
1101, 381, 932
1179, 336, 967
1179, 336, 967
1316, 236, 940
1332, 241, 955
1299, 415, 1165
